feature,importance
BBL,0.062227488
MACD,0.058880694
BBM,0.058315743
EMA_50,0.052985985
CCI,0.052127637
MACDs,0.051304772
SMA_50,0.051141016
EMA_10,0.049661778
MACDh,0.049597394
OBV,0.047512818
SMA_200,0.047443997
RSI,0.046113513
low,0.045069493
BBU,0.043987352
close,0.04353213
high,0.041707832
SMA_10,0.040971603
STOCHd,0.040717017
open,0.039273545
STOCHk,0.03892903
volume,0.038499225
