feature,importance
MACD,0.057475373
EMA_50,0.05679694
BBM,0.05310265
SMA_50,0.053026564
close,0.051204544
SMA_200,0.049826983
OBV,0.049512126
low,0.048896372
EMA_10,0.048866164
BBU,0.048640758
RSI,0.047924764
SMA_10,0.047756385
MACDs,0.047512323
CCI,0.045503665
BBL,0.04475499
MACDh,0.044105127
high,0.044055413
STOCHd,0.042606097
open,0.040328693
STOCHk,0.039530426
volume,0.038573664
